tweet_id,username,created_at,lang,city_clean,likes,retweets,replies,mentions,reply_to_username,sentiment_roberta,confidence_roberta,polarity_roberta,sentiment_model2,confidence_model2,polarity_model2,sentiment,sentiment_score
1406970754688717056,afrkml,Mon Jun 21 13:42:22 +0000 2021,in,,245,44,4,,afrkml,negative,0.7523073554039001,-0.7523073554039001,negative,0.9951103329658508,-0.9951103329658508,negative,-0.9951103329658508
1409518162362568960,claudiaars__,Mon Jun 28 14:24:52 +0000 2021,in,jakarta,0,0,1,,,negative,0.9966854453086853,-0.9966854453086853,negative,0.6195971369743347,-0.6195971369743347,negative,-0.6195971369743347
1408483130994946048,ryuuken86,Fri Jun 25 17:52:01 +0000 2021,in,,0,0,0,,,negative,0.6167261600494385,-0.6167261600494385,positive,0.8916525840759277,0.8916525840759277,positive,0.8916525840759277
1409494375294390016,emtezet,Mon Jun 28 12:50:20 +0000 2021,in,,2,2,0,,,positive,0.7786155939102173,0.7786155939102173,positive,0.9541922211647034,0.9541922211647034,positive,0.9541922211647034
1407938212631237120,guyubrahardjo,Thu Jun 24 05:46:42 +0000 2021,in,jakarta,0,0,0,"CNNIndonesia, PutraWadapi",cnnindonesia,neutral,0.6545009613037109,0.0,neutral,0.8895002007484436,0.0,neutral,0.0
1407197145682247936,tikaresianaa,Tue Jun 22 04:41:58 +0000 2021,in,,0,0,1,milasantika06,milasantika06,negative,0.9968149065971375,-0.9968149065971375,negative,0.9959565997123718,-0.9959565997123718,negative,-0.9959565997123718
1404754951893443072,albusvenetus,Tue Jun 15 10:57:34 +0000 2021,in,,0,0,0,bertanyarl,bertanyarl,negative,0.7367415428161621,-0.7367415428161621,negative,0.9843407273292542,-0.9843407273292542,negative,-0.9843407273292542
1404934053925510912,amsalfoje,Tue Jun 15 22:49:15 +0000 2021,in,jakarta,1,1,0,,,negative,0.845024824142456,-0.845024824142456,negative,0.9913427829742432,-0.9913427829742432,negative,-0.9913427829742432
1406838070859677952,mitrapost_,Mon Jun 21 04:55:08 +0000 2021,in,pati,0,0,0,,,negative,0.6818514466285706,-0.6818514466285706,positive,0.7491216659545898,0.7491216659545898,positive,0.7491216659545898
1406566917880434944,askrlfess,Sun Jun 20 10:57:40 +0000 2021,in,jakarta,0,0,5,,,negative,0.7192109823226929,-0.7192109823226929,negative,0.9562757015228271,-0.9562757015228271,negative,-0.9562757015228271
1408505055389442048,iqbalroman,Fri Jun 25 19:19:08 +0000 2021,in,,0,0,1,,,negative,0.5970122814178467,-0.5970122814178467,negative,0.978857159614563,-0.978857159614563,negative,-0.978857159614563
1407708433021764096,dawil_k,Wed Jun 23 14:33:39 +0000 2021,in,,0,0,1,,uncle_gober324,negative,0.9935634136199951,-0.9935634136199951,negative,0.9937114715576172,-0.9937114715576172,negative,-0.9937114715576172
1406049061044592896,tabbycattou,Sat Jun 19 00:39:53 +0000 2021,in,,0,0,2,,,negative,0.9818786978721619,-0.9818786978721619,negative,0.9903392195701599,-0.9903392195701599,negative,-0.9903392195701599
1381228090127393024,bananaeueueq,Sun Apr 11 12:50:13 +0000 2021,in,,0,0,1,,,negative,0.9680659770965576,-0.9680659770965576,negative,0.97919100522995,-0.97919100522995,negative,-0.97919100522995
1379724576540697088,edhi_shi,Wed Apr 07 09:15:47 +0000 2021,in,yogyakarta,0,0,0,,,negative,0.9858161211013794,-0.9858161211013794,negative,0.9904317259788513,-0.9904317259788513,negative,-0.9904317259788513
1377509240143671040,kodimagara,Thu Apr 01 06:32:50 +0000 2021,in,aceh tenggara,0,0,0,,,neutral,0.9978582262992859,0.0,neutral,0.9812714457511902,0.0,neutral,0.0
1379686465051841024,makelarnaga,Wed Apr 07 06:44:21 +0000 2021,in,,1,0,1,werryhikmatiar,werryhikmatiar,negative,0.9786750078201294,-0.9786750078201294,negative,0.9947804808616638,-0.9947804808616638,negative,-0.9947804808616638
1379813836983655936,cindwirella,Wed Apr 07 15:10:29 +0000 2021,in,,0,0,4,,,positive,0.6814274787902832,0.6814274787902832,positive,0.5358881950378418,0.5358881950378418,positive,0.5358881950378418
1378571726506787072,asheilette,Sun Apr 04 04:54:46 +0000 2021,in,,0,0,0,subtanyarl,subtanyarl,negative,0.9874967336654663,-0.9874967336654663,negative,0.9801493287086487,-0.9801493287086487,negative,-0.9801493287086487
1380322386961001984,qwertyrm,Fri Apr 09 00:51:16 +0000 2021,in,tangerang selatan,0,0,0,detikcom,detikcom,negative,0.9895687699317932,-0.9895687699317932,negative,0.9957287907600403,-0.9957287907600403,negative,-0.9957287907600403
1381173658131987968,bbriwinlv,Sun Apr 11 09:13:55 +0000 2021,in,,0,0,1,,j0bbas,neutral,0.5335890650749207,0.0,neutral,0.7065991759300232,0.0,neutral,0.0
1381285314149289984,adiarticuno2,Sun Apr 11 16:37:36 +0000 2021,in,yogyakarta,0,0,1,,adiarticuno2,negative,0.9574814438819885,-0.9574814438819885,negative,0.7877180576324463,-0.7877180576324463,negative,-0.7877180576324463
1379075150549709056,jaommes,Mon Apr 05 14:15:12 +0000 2021,in,,0,0,1,,heesookiem,negative,0.9947764873504639,-0.9947764873504639,negative,0.9937036633491516,-0.9937036633491516,negative,-0.9937036633491516
1382274159166640128,jusjussie219,Wed Apr 14 10:06:55 +0000 2021,in,,0,0,1,ameamakunai,ameamakunai,positive,0.8293818831443787,0.8293818831443787,positive,0.7370904684066772,0.7370904684066772,positive,0.7370904684066772
1379695696715017984,matakalteng,Wed Apr 07 07:21:02 +0000 2021,in,,0,0,0,,,neutral,0.9977409839630127,0.0,neutral,0.9768954515457153,0.0,neutral,0.0
1377577706208985088,habisnangis,Thu Apr 01 11:04:53 +0000 2021,in,,0,0,0,,,negative,0.955453097820282,-0.955453097820282,positive,0.9742986559867859,0.9742986559867859,positive,0.9742986559867859
1378298918761497088,taehyungluvlyy,Sat Apr 03 10:50:44 +0000 2021,in,,0,0,0,subtanyarl,subtanyarl,negative,0.9765856266021729,-0.9765856266021729,positive,0.7716612815856934,0.7716612815856934,positive,0.7716612815856934
1383849515409498112,bandungjuaraaa,Sun Apr 18 18:26:49 +0000 2021,in,,0,0,0,,,neutral,0.9951682090759277,0.0,neutral,0.9836983680725098,0.0,neutral,0.0
1406777048626958080,belalangcerewet,Mon Jun 21 00:52:39 +0000 2021,in,lamongan,1,0,1,,belalangcerewet,negative,0.7032204866409302,-0.7032204866409302,negative,0.9744319319725037,-0.9744319319725037,negative,-0.9744319319725037
1404605927399910912,pemdakotacrb,Tue Jun 15 01:05:24 +0000 2021,in,cirebon,0,0,0,,,neutral,0.9464130997657776,0.0,neutral,0.7679625153541565,0.0,neutral,0.0
1404739654222373120,gnfi,Tue Jun 15 09:56:47 +0000 2021,in,,1,0,1,,gnfi,neutral,0.9234755635261536,0.0,negative,0.7725923657417297,-0.7725923657417297,negative,-0.7725923657417297
